m1,m2,m3
12.7194,-6.9913,10.6257,
11.5748,-6.41155,9.63682,
9.23441,-5.27692,7.57815,
10.4795,-5.91109,8.65324,
11.4807,-6.40422,9.52851,
11.6825,-6.49299,9.71192,
11.5698,-6.43113,9.61774,
12.9855,-7.18365,10.8175,
14.1445,-7.77177,11.818,
15.7946,-8.6298,13.2286,
15.8931,-8.67325,13.3179,
15.7158,-8.57638,13.1693,
16.4484,-8.9588,13.7945,
16.8674,-9.17357,14.1546,
16.8281,-9.16062,14.1162,
16.1162,-8.75706,13.5294,
18.3001,-9.89845,15.3921,
17.776,-9.63442,14.9387,
16.607,-9.05098,13.9238,
16.0082,-8.75698,13.4007,
14.8215,-8.14909,12.3802,
12.6149,-7.02566,10.4774,
11.8484,-6.6277,9.82134,
11.59,-6.48718,9.6044,
12.0395,-6.72117,9.98879,
11.7843,-6.59857,9.76361,
10.04,-5.72645,8.24674,
11.9059,-6.70757,9.83659,
13.2572,-7.39534,11.0028,
14.4414,-8.01223,12.0149,
15.1141,-8.37991,12.5783,
16.3782,-9.03534,13.6605,
17.5878,-9.65845,14.6985,
18.9282,-10.3528,15.846,
19.4583,-10.636,16.2942,
20.3921,-11.1316,17.0858,
21.6716,-11.8124,18.1693,
21.9316,-11.9614,18.3827,
20.9344,-11.4542,17.5228,
19.774,-10.8577,16.5264,
19.623,-10.786,16.3928,
19.165,-10.5667,15.9888,
18.9868,-10.5028,15.8173,
17.7197,-9.83691,14.7385,
17.1756,-9.5455,14.2788,
16.891,-9.39083,14.0399,
15.7978,-8.80359,13.1175,
15.8263,-8.80368,13.1517,
16.1579,-8.97146,13.4384,
14.6201,-8.179,12.1182,
12.6452,-7.18376,10.4065,
14.4333,-8.09933,11.9465,
15.9762,-8.88195,13.2797,
17.073,-9.44564,14.2221,
17.5693,-9.71417,14.6395,
19.1655,-10.5438,16.0045,
20.5064,-11.2382,17.1527,
22.0772,-12.0558,18.4948,
22.6662,-12.3719,18.9919,
23.9421,-13.0542,20.0702,
24.7955,-13.521,20.7846,
22.3047,-12.2352,18.6495,
21.7348,-11.9616,18.1472,
21.4637,-11.7721,17.9474,
21.6844,-11.8953,18.1305,
21.5952,-11.7908,18.0923,
21.5798,-11.8208,18.0543,
21.7834,-11.9277,18.2277,
22.3606,-12.2405,18.7127,
22.9169,-12.5603,19.1682,
22.2272,-12.1781,18.5941,
22.3694,-12.2557,18.7133,
22.8907,-12.5346,19.1538,
21.5694,-11.867,18.0115,
17.9904,-10.087,14.8965,
19.4957,-10.8521,16.1961,
21.0557,-11.6202,17.5588,
21.0409,-11.6075,17.5496,
20.5036,-11.336,17.0849,
21.6131,-11.9651,17.999,
22.5173,-12.4251,18.7788,
22.8393,-12.5884,19.0569,
22.6067,-12.4591,18.8635,
21.3607,-11.7904,17.8119,
20.0659,-11.0923,16.7213,
18.9331,-10.4758,15.7709,
17.8124,-9.8732,14.8256,
16.8444,-9.31882,14.0319,
16.7383,-9.24884,13.9509,
15.8161,-8.70182,13.2071,
15.7007,-8.65684,13.0985,
15.3828,-8.48163,12.8333,
14.3962,-7.95984,11.9954,
13.8996,-7.71055,11.5649,
14.0989,-7.77667,11.7602,
14.9191,-8.19543,12.4665,
15.7194,-8.61641,13.1476,
15.2932,-8.41743,12.7683,
15.3963,-8.57616,12.7865,
17.7619,-9.81134,14.8061,
21.2091,-11.599,17.7565,
22.3694,-12.2122,18.7417,
22.3152,-12.2034,18.6828,
24.8123,-13.5779,20.7676,
26.493,-14.4649,22.1956,
28.4694,-15.5135,23.8713,
30.9444,-16.8336,25.965,
33.3267,-18.0917,27.9885,
33.8997,-18.3975,28.4731,
36.5829,-19.8363,30.7381,
39.676,-21.5192,33.3333,
39.3445,-21.321,33.0666,
40.1394,-21.7966,33.7057,
38.4866,-20.7929,32.3863,
36.7933,-19.9525,30.9135,
35.9256,-19.5321,30.152,
35.0317,-19.0844,29.377,
34.7047,-18.9455,29.0772,
34.2716,-18.7035,28.7179,
34.1867,-18.6634,28.6428,
33.8973,-18.5104,28.3971,
33.2205,-18.1591,27.8182,
32.0033,-17.6064,26.725,
34.8672,-19.1028,29.1686,
36.0401,-19.7421,30.1518,
34.9741,-19.1866,29.2414,
34.9837,-19.1823,29.2558,
36.3925,-19.9624,30.4289,
37.8068,-20.6794,31.6499,
39.5698,-21.5823,33.1658,
40.1445,-21.8743,33.6615,
41.5754,-22.6206,34.8829,
42.4824,-23.0988,35.654,
42.9195,-23.3347,36.0218,
44.7104,-24.2888,37.5377,
42.7933,-23.2267,35.9414,
41.9815,-22.8175,35.2392,
40.7015,-21.9258,34.2909,
38.3922,-20.7014,32.3329,
37.0277,-20.0001,31.1616,
35.7067,-19.3212,30.0277,
35.3739,-19.1937,29.7139,
33.7139,-18.3207,28.3015,
32.0685,-17.4672,26.894,
31.2136,-17.0199,26.1651,
31.122,-16.9757,26.0846,
29.4797,-16.1953,24.6326,
30.7405,-16.827,25.726,
33.1322,-18.084,27.7617,
34.5407,-18.8295,28.957,
37.6055,-20.4375,31.5671,
39.9214,-21.7468,33.4783,
40.7655,-22.207,34.1859,
42.8814,-23.3347,35.9765,
44.388,-24.1556,37.2398,
43.4185,-23.6787,36.3935,
43.8878,-23.9576,36.7719,
45.1942,-24.674,37.8643,
45.6947,-24.9686,38.2697,
43.8003,-23.9182,36.6932,
42.097,-23.0595,35.2196,
40.6168,-22.0592,34.1044,
40.024,-21.7165,33.6202,
37.8827,-20.611,31.785,
36.4137,-19.8563,30.5234,
35.6263,-19.4771,29.8308,
34.2084,-18.7154,28.6347,
33.2607,-18.2159,27.8291,
31.1523,-17.1026,26.0379,
29.3325,-16.1423,24.4913,
26.4445,-14.6992,21.9829,
27.2937,-15.1468,22.7051,
28.6721,-15.8538,23.8904,
30.1427,-16.6094,25.1537,
31.0296,-17.0651,25.9156,
34.5733,-18.9838,28.8952,
36.9894,-20.2609,30.9469,
38.9601,-21.3183,32.6102,
41.0824,-22.4548,34.4027,
41.7333,-22.8217,34.9404,
42.397,-23.2072,35.4814,
41.7257,-22.8712,34.899,
43.0551,-23.5972,36.0126,
44.0678,-24.0556,36.9229,
43.3359,-23.7042,36.2783,
42.4536,-23.0663,35.6407,
42.4044,-23.058,35.5874,
41.9179,-22.8334,35.1532,
42.4401,-23.1292,35.5837,
43.8946,-23.9279,36.7994,
45.014,-24.5235,37.7473,
45.7179,-24.9043,38.3393,
45.3311,-24.7175,37.9994,
46.1506,-25.1773,38.6779,
43.0248,-23.5919,35.98,
41.9173,-23.1732,34.9294,
42.4716,-23.4923,35.3829,
42.8423,-23.689,35.6972,
42.8187,-23.6775,35.6765,
43.9593,-24.2549,36.6623,
46.4227,-25.5337,38.7698,
48.0269,-26.357,40.1484,
49.2964,-27.0304,41.2249,
50.6779,-27.7665,42.3942,
51.3932,-28.1545,42.9952,
50.9731,-27.9386,42.6344,
49.6829,-27.2694,41.5304,
49.7068,-27.3062,41.5348,
49.6931,-27.3136,41.5135,
48.7126,-26.6172,40.7976,
48.5273,-26.5149,40.6431,
46.4047,-25.4228,38.8211,
45.0875,-24.7492,37.6876,
43.9414,-24.1456,36.7129,
41.9253,-23.0707,35.0068,
40.4736,-22.2936,33.7803,
39.7745,-21.9132,33.1937,
35.8442,-19.825,29.8626,
30.5112,-17.0203,25.3228,
32.0588,-17.851,26.6291,
32.5523,-18.0988,27.0571,
32.2087,-17.8954,26.7797,
32.1454,-17.8301,26.7473,
33.1771,-18.3301,27.6537,
34.2199,-18.8444,28.5638,
35.1438,-19.2909,29.376,
37.2701,-20.3984,31.1924,
39.7861,-21.7333,33.3256,
41.167,-22.4876,34.4824,
40.7527,-22.3011,34.1093,
41.51,-22.7416,34.7261,
39.8915,-21.8357,33.3847,
40.1264,-21.9912,33.5636,
41.066,-22.2651,34.5063,
40.0596,-21.7467,33.643,
37.0099,-20.1839,31.0216,
34.7909,-19.0452,29.115,
33.2888,-18.2876,27.8156,
31.0415,-17.0773,25.9218,
28.0499,-15.4751,23.3948,
25.561,-14.1437,21.2914,
22.4075,-12.4933,18.6015,
18.8727,-10.7063,15.542,
17.958,-10.1578,14.8091,
17.5525,-9.89317,14.4988,
17.5597,-9.84049,14.5434,
21.008,-11.5858,17.5244,
27.8029,-15.1824,23.2915,
31.6568,-17.2206,26.5632,
33.7349,-18.3496,28.3079,
34.388,-18.7424,28.8316,
34.914,-19.0578,29.2539,
35.058,-19.1619,29.3579,
35.1735,-19.2538,29.4358,
35.4287,-19.4157,29.6348,
34.5688,-18.8997,28.9449,
33.5157,-18.3596,28.0397,
32.2113,-17.5141,27.0337,
31.7536,-17.3054,26.6236,
31.3613,-17.1265,26.2719,
31.4445,-17.187,26.3317,
32.4132,-17.7267,27.1362,
32.9128,-17.97,27.5741,
32.1406,-17.5617,26.9185,
32.5053,-17.7607,27.2241,
31.4929,-17.2512,26.3476,
29.4641,-16.2872,24.5532,
30.4122,-16.7526,25.3822,
30.5702,-16.8412,25.5129,
30.5763,-16.8558,25.5105,
30.3728,-16.759,25.3307,
30.5395,-16.9142,25.4277,
28.6987,-15.9229,23.8763,
27.0272,-15.0198,22.4694,
23.6135,-13.1834,19.5908,
20.8674,-11.6904,17.2854,
18.9973,-10.6552,15.7278,
18.3292,-10.2605,15.1882,
17.6023,-9.85051,14.588,
16.2561,-9.06272,13.4955,
15.2971,-8.53225,12.6965,
14.7787,-8.19065,12.3014,
14.622,-8.12128,12.1592,
13.8328,-7.69998,11.4916,
13.5176,-7.53287,11.2242,
12.9334,-7.24337,10.7148,
12.1542,-6.80018,10.0738,
11.8235,-6.61395,9.80052,
10.645,-5.99462,8.7966,
9.27472,-5.28686,7.62034,
7.30005,-4.33175,5.87594,
8.91984,-5.15024,7.28276,
10.0338,-5.70705,8.25265,
9.63478,-5.48399,7.92179,
9.48722,-5.39974,7.80065,
11.158,-6.28364,9.22052,
11.8755,-6.6509,9.83831,
12.8231,-7.13896,10.6521,
14.036,-7.75592,11.6985,
14.3306,-7.90664,11.952,
13.849,-7.66054,11.5374,
14.0925,-7.78403,11.7476,
13.817,-7.64637,11.5084,
12.9458,-7.15938,10.7859,
12.445,-6.90521,10.3536,
11.8004,-6.5235,9.83331,
11.2071,-6.22074,9.32209,
9.90087,-5.54609,8.20171,
11.0444,-6.19191,9.14539,
11.322,-6.41063,9.33229,
10.3505,-5.90106,8.50352,
9.69662,-5.56106,7.94349,
9.52535,-5.46903,7.79885,
8.57386,-4.98244,6.97757,
6.55454,-4.00978,5.18494,
7.53176,-4.49583,6.04276,
8.99265,-5.22332,7.32016,
9.58194,-5.52017,7.83207,
9.28907,-5.37301,7.57744,
9.8345,-5.67884,8.02921,
10.7203,-6.12028,8.80153,
11.893,-6.71272,9.81745,
13.5201,-7.56544,11.2052,
14.8524,-8.27107,12.3363,
15.574,-8.64629,12.9535,
15.6615,-8.67788,13.0375,
16.3722,-9.04165,13.6491,
16.85,-9.23867,14.0915,
19.0353,-10.3714,15.9617,
20.632,-11.1771,17.3423,
20.7534,-11.2641,17.4306,
20.4321,-11.115,17.1444,
20.4487,-11.1434,17.1457,
21.3617,-11.6513,17.9045,
24.7517,-13.4101,20.8042,
26.4788,-14.3323,22.2646,
29.1852,-15.7847,24.5483,
31.7924,-17.209,26.7321,
32.3589,-17.6448,27.1249,
35.3939,-19.238,29.7091,
39.5022,-21.4257,33.1868,
43.752,-23.7314,36.7567,
42.8355,-23.3171,35.9333,
43.1701,-23.632,36.1273,
42.4614,-23.2661,35.5198,
43.5134,-23.8361,36.4041,
46.7309,-25.5557,39.124,
48.4079,-26.4648,40.5332,
49.842,-27.247,41.7352,
48.8097,-26.7157,40.8492,
